Bubble
250
20,36905
21,36215
22,40250
23,34415
24,39796
25,38726
26,40950
27,35724
28,39263
29,39826
30,38570

1000
1,178728
2,111644
3,108345
4,108830
5,108315
6,109896
7,109342
8,108559
9,108474
10,108386
11,108158
12,108763
13,108682
14,113628
15,108607
16,108662
17,108471
18,112188
19,78433
20,57465
21,57057
22,55938
23,56527
24,58349
25,55238
26,55813
27,55750
28,55595
29,56370
30,57265

2000
1,115215
2,115285
3,112932
4,114201
5,113301
6,114939
7,113516
8,113896
9,115079
10,115655
11,113752
12,113333
13,113242
14,113805
15,115188
16,114448
17,117167
18,115288
19,114388
20,120076
21,114149
22,114865
23,113696
24,113792
25,112599
26,114275
27,115119
28,115219
29,114371
30,113609

3000
1,180757
2,176698
3,179625
4,175417
5,174220
6,176351
7,176250
8,185165
9,174186
10,174625
11,173895
12,178671
13,176412
14,174244
15,185944
16,180386
17,212856
18,177168
19,170780
20,171597
21,170336
22,171515
23,173547
24,181516
25,174226
26,174255
27,171397
28,170619
29,170262
30,169679

4000
1,337588
2,233835
3,231971
4,229069
5,230424
6,230567
7,237415
8,232149
9,230124
10,230208
11,230831
12,231595
13,229909
14,230081
15,229305
16,230083
17,232388
18,229432
19,230312
20,229383
21,356839
22,251644
23,231997
24,231756
25,230207
26,229498
27,231093
28,231379
29,229728
30,228638

5000
1,305051
2,292878
3,291739
4,291224
5,291282
6,290225
7,290641
8,291807
9,290519
10,291416
11,296945
12,290977
13,291818
14,291198
15,290354
16,289196
17,290908
18,291443
19,290011
20,292029
21,298860
22,291252
23,292231
24,291830
25,291445
26,291709
27,291007
28,290865
29,291229
30,289304

Pancake
250
1,774113
2,234270
3,415210
4,442848
5,483783
6,418967
7,131998
8,131106
9,129476
10,93440
11,44997
12,45346
13,46662
14,44469
15,44731
16,46002
17,46059
18,44753
19,44547
20,51117
21,45498
22,44749
23,45267
24,44417
25,46169
26,44917
27,44837
28,44505
29,45821
30,44888

1000
1,448655
2,446681
3,446367
4,448402
5,447987
6,447754
7,456007
8,448211
9,446503
10,446466
11,446789
12,447584
13,447124
14,445976
15,454358
16,520698
17,449225
18,447107
19,448963
20,449451
21,447206
22,448309
23,447876
24,455983
25,447656
26,448002
27,446293
28,448865
29,448464
30,447492

2000
1,1620997
2,1616097
3,1619853
4,1610632
5,1652265
6,1648749
7,1640133
8,1614375
9,1609921
10,1616282
11,1608081
12,1630165
13,3719001
14,1631208
15,1700174
16,1585784
17,1532018
18,1529643
19,1532146
20,1533531
21,1533506
22,1535045
23,1536413
24,1542867
25,1537667
26,1540367
27,1535816
28,1539977
29,1537805
30,1557889

3000
1,3360168
2,3442371
3,3381589
4,3386309
5,5795319
6,3615876
7,3703342
8,3643027
9,3702072
10,3637933
11,3653071
12,3699573
13,3690938
14,3639808
15,3654376
16,3647085
17,3639053
18,3628594
19,3637965
20,3719636
21,3711641
22,3656044
23,3641342
24,3668547
25,3634413
26,3632898
27,3637208
28,3672924
29,3630518
30,3630259

4000
1,6404932
2,6428007
3,6418604
4,6513756
5,6516288
6,6499337
7,6417553
8,6413818
9,6533093
10,6452204
11,6469249
12,6498855
13,6570009
14,6550786
15,6438208
16,6429453
17,6438492
18,6433723
19,6472564
20,6429090
21,6419469
22,6416638
23,6432653
24,6442174
25,6426717
26,6416715
27,6426659
28,6417484
29,6442927
30,6426973

5000
1,9973566
2,9985710
3,9981245
4,10058856
5,9979753
6,10023658
7,9990997
8,10186046
9,9990937
10,10129810
11,9994629
12,10076439
13,10028724
14,10090881
15,10181318
16,10041613
17,10099434
18,10006730
19,10135671
20,10005880
21,9974534
22,10110907
23,10118907
24,10024136
25,10036555
26,9997414
27,9955830
28,9986095
29,10000991
30,9941588

